Date,Honda,Kawasaki,Suzuki,Yamaha,Motorstar
12/1/2024,1,1,0,6,0
12/2/2024,2,9,6,13,1
12/3/2024,1,1,0,2,0
12/4/2024,4,3,4,5,0
12/5/2024,2,4,3,5,0
12/6/2024,0,2,2,4,0
12/7/2024,2,0,2,3,0
12/8/2024,0,1,1,0,0
12/9/2024,4,3,3,5,0
12/10/2024,2,1,0,8,0
